date,GARCH,GARCH_t,GJR,GJR_t,EGARCH,EGARCH_t
2024-01-23,0.007348943480758171,0.0073508343918940915,0.007329072759745189,0.007350834391894092,0.007258034249859925,0.007252058128746519
2024-01-24,0.007185982661639523,0.007259911182941265,0.007092324034950822,0.007020917843681949,0.00701070201468598,0.006973160389517553
2024-01-25,0.007026209710302785,0.007166850985686037,0.0068867880975279835,0.006745817290526964,0.007097620111780853,0.007064336088564664
2024-01-26,0.006988730729210122,0.007154681830183868,0.0067235242196422235,0.006535006261331632,0.006535088840795798,0.006436259256495987
2024-01-29,0.0068716170722609516,0.007085185530266996,0.0066012678069601,0.0063897631397030474,0.006858499077315319,0.0067875853597460485
2024-01-30,0.006990321094553754,0.007175185098018022,0.00649818201300816,0.006266427923894352,0.006004813912419867,0.0058388756294906665
2024-01-31,0.006872846076317772,0.007102707847226378,0.006410717920685571,0.006173179574461301,0.006366617686609095,0.006228940336693206
2024-02-01,0.008137253821452299,0.007999424240094484,0.009177464263879113,0.009887561230289676,0.009150543783713983,0.009392006325062274
2024-02-02,0.008453285353315361,0.008247748816888443,0.00876566843168444,0.009230956793678505,0.00744131948864239,0.007509238068044363
2024-02-05,0.00850186153250636,0.008303379242787892,0.008382394158840508,0.008648220933618039,0.006179640782162629,0.006110786032337822
2024-02-06,0.008233637216490492,0.00812767261223274,0.008169578186692608,0.008330308606890775,0.006896774571837976,0.0068953069058859204
2024-02-07,0.007935304402401401,0.007926639125210055,0.007817300417442188,0.00783632847666391,0.006754326987186926,0.006726912457199027
2024-02-08,0.007910534847943329,0.007915509884340267,0.00754135709815202,0.007457379632492347,0.005828184131193369,0.005694594715687069
2024-02-09,0.0076469918199202624,0.007734912410895358,0.0072742315463904155,0.007108716306441741,0.006046235489465784,0.005919519473351291
2024-02-12,0.007532314720842034,0.007655736722892801,0.007057203458015998,0.006835448983788368,0.005491735810932615,0.005292111338739047
2024-02-13,0.0073388665003152114,0.007520697402190214,0.006896450619208694,0.006650302496000835,0.005931347512150699,0.005763163637545529
2024-02-14,0.0081366150197965,0.008079124110398933,0.00881122344675933,0.009282140495715128,0.008340448176872885,0.008490879179371937
2024-02-15,0.008194100619854719,0.008127754014613424,0.008416412086592353,0.008685113114597723,0.007072594022871592,0.007089771237509548
2024-02-16,0.007992203795123196,0.00799116068229097,0.008042952081614938,0.008147550212754723,0.006459276191812771,0.006401785896828796
2024-02-20,0.007866375303439132,0.00790566517976072,0.008027801052571035,0.008121764094108306,0.007373829982730893,0.007412051983215172
2024-02-21,0.007817264492564155,0.007872424678897413,0.008134530571041076,0.008263223396032145,0.008346081869720719,0.008493919476684333
2024-02-22,0.007567353692838217,0.007697831114254052,0.00778572261028617,0.007778682994842958,0.008226208337212654,0.008362272965517286
2024-02-23,0.009075503686583344,0.00877591211174991,0.007710977192749203,0.007640773681336711,0.0057011502252365545,0.005594690964213405
2024-02-26,0.008658884244784072,0.008489185800345108,0.007426768302029734,0.007269691808946047,0.005989611375853149,0.005894626398812897
2024-02-27,0.00838365728355064,0.008299992572815428,0.0073981806177695645,0.0072669972213488514,0.006780440851259585,0.006761089798891452
2024-02-28,0.00805842552309153,0.008072419584246007,0.0071496654541057265,0.0069491934183595295,0.0067343103888413075,0.006699172933973784
2024-02-29,0.007802467882092819,0.007891250550385661,0.007005817732684734,0.006786355117441055,0.0071693144949568416,0.007173812308804321
2024-03-01,0.007643637231999359,0.007776129708302659,0.0068250400321069275,0.006568184173230836,0.0065990965611863765,0.006535600902833745
2024-03-04,0.0076490097169583104,0.007774350702840849,0.006690485952501479,0.006414078839885133,0.005721401021914928,0.005556962239216099
2024-03-05,0.007444077598944339,0.007627235296481372,0.0065991692481047375,0.006329310365246105,0.006185200294513454,0.006056606299939433
2024-03-06,0.007817991956449078,0.007881683661349196,0.0077770920879564635,0.007991861223649612,0.007950643529825397,0.00803753016757548
2024-03-07,0.0076598851324825214,0.007770022525509753,0.007487457472915938,0.007564505209846554,0.007305922163208735,0.007322305571200161
2024-03-08,0.007831758968116474,0.007887950648908206,0.007277482921051568,0.007255077164069486,0.00608487125800596,0.005970855403836861
2024-03-11,0.007840928620728596,0.007894341046579191,0.007642623191310076,0.007759040995122149,0.0073079210635623604,0.007329329617636991
2024-03-12,0.007601838362223163,0.007726757078749652,0.007394334805191742,0.007404411193481663,0.007600209667363406,0.007649657742694211
2024-03-13,0.00787374698364549,0.007914553573831848,0.007209759836169827,0.007137297889989798,0.006229684143979259,0.00613573721380372
2024-03-14,0.007655339828098715,0.0077620314846207905,0.007083288811241118,0.006975852526422955,0.006766485300192065,0.006720514315738313
2024-03-15,0.007490604952487748,0.007645112206349853,0.007026843963580057,0.0069161127436704,0.007356033623074177,0.007369548496767836
2024-03-18,0.0075382790192308445,0.007674407484998419,0.007400308259039276,0.00744935422072016,0.0084059401618758,0.00854101840592535
2024-03-19,0.007475410420146625,0.0076279671224704715,0.0071697284517167805,0.0071214191293297105,0.007571879158853823,0.007619645803569752
2024-03-20,0.007378229843391175,0.007557432272579809,0.00696654069860125,0.006844440732382966,0.006933373643401994,0.006908695028467397
2024-03-21,0.007491604278113923,0.007632271464218373,0.006818964510137899,0.006648300698661892,0.005917122549443027,0.0057797564813262025
2024-03-22,0.007310852833108212,0.007505042909700404,0.006656541877326303,0.00644443637871257,0.0057420699186162116,0.005569320331491388
2024-03-25,0.007158502911140563,0.007396173480186218,0.006576692193120358,0.006362309813729878,0.006220734506777897,0.0060864655073756425
