strategy,,alpha_annual,annual_return,annual_vol,beta,max_drawdown,sharpe,terminal_equity
benchmark,mean,0.0001761246967571352,0.11802485876809848,0.17365522919824422,0.9986772486772486,-0.2203522814046342,0.6805688138410988,1.4956268057087345
benchmark,median,0.0001868854819165619,0.12664804045158995,0.17362169606418135,0.9986772486772487,-0.20749143746929033,0.7275691430892378,1.462205282545709
benchmark,std,0.00013830612968954292,0.10452849470099804,0.004556279234452074,1.0578133848973697e-16,0.07535980859966471,0.6033487154533392,0.47221950953226494
benchmark,<lambda>,-5.0389706840678316e-05,-0.05293749263539467,0.16623585594511112,0.9986772486772486,-0.36303656643833876,-0.3069668381922194,0.85316969640615
benchmark,<lambda>,0.0003843430768320633,0.2752064555810738,0.18110977329381406,0.9986772486772488,-0.1265492443366747,1.5937644306424323,2.2832951569666338
layered,mean,0.11491403080921302,0.18224485937664855,0.10566446564302784,0.5471772792566283,-0.08971181462387995,1.7247351404413842,1.7574483493325237
layered,median,0.11454148253991511,0.18362538344645757,0.10570380288993747,0.5468568106105822,-0.08199731234359176,1.738381905972735,1.7347724167466965
layered,std,0.0192132946792179,0.06187334607458087,0.00373535336420038,0.021746703059874754,0.031255156524824045,0.5838666533581692,0.3271413235200085
layered,<lambda>,0.08267132647201936,0.07890411978766922,0.09952269954199573,0.5121745065066559,-0.15306928847244972,0.7485752536406114,1.267077458413465
layered,<lambda>,0.14532151027282178,0.28049464793178036,0.11170133833155456,0.580518007258081,-0.05325044023931178,2.64721551217361,2.3198102097176103
regime,mean,0.005339547143220262,0.05050190451417647,0.07215677521823835,0.35896526428120507,-0.11511584077528485,0.7002224259150285,1.1770997355081976
regime,median,0.004843088461125874,0.05075515819282615,0.07223473525871169,0.3580895882997376,-0.10414464200402018,0.7221715382525614,1.1644693581119205
regime,std,0.023017139062124905,0.0509099485141851,0.002649412105874001,0.018845719227827875,0.0466730161796858,0.7027532367812886,0.17880396742744092
regime,<lambda>,-0.03238410723525674,-0.03285544780133313,0.06782102139488534,0.3305231564749712,-0.20461091224304165,-0.4579597275389848,0.9061356113854007
regime,<lambda>,0.041328378363058395,0.12945950457029687,0.07633195707288999,0.3912246539370372,-0.06105234194325203,1.7983792434375618,1.474587838083352
