strategy,,alpha_annual,annual_return,annual_vol,beta,max_drawdown,sharpe,terminal_equity
benchmark,mean,9.720740848463252e-05,0.10734511148218101,0.17378226116197298,0.9992063492063493,-0.265609516666176,0.618350042376601,1.844937191611309
benchmark,median,9.91231870276835e-05,0.1093235606963798,0.17392809628933192,0.9992063492063492,-0.2516086605245241,0.6306619691257692,1.7274017206840442
benchmark,std,6.21177778910453e-05,0.07825648831981913,0.003501883417171525,1.3271032780710402e-16,0.07775550999231809,0.45077115468634543,0.7321491300809851
benchmark,<lambda>,-8.753500129446965e-06,-0.025726052317851144,0.1679651964509632,0.9992063492063491,-0.418311348109356,-0.15003809277362332,0.8792995594716186
benchmark,<lambda>,0.00019594444338480918,0.2315977204113318,0.1794380580403498,0.9992063492063493,-0.1623621119678807,1.3285197626369658,3.1835241432567067
regime,mean,0.004140755806254326,0.04525157300982771,0.07178678075868737,0.356838283209955,-0.14286094034265925,0.6305701409470458,1.2778557682233098
regime,median,0.0045957222023403944,0.04699261717738856,0.07174439362077259,0.35622268051671097,-0.13403134872161854,0.6517196607769621,1.2648620982628156
regime,std,0.01959312445448443,0.03898437151594286,0.001974919600636779,0.014007242962820098,0.05091047753829608,0.5424247148474737,0.25029876926252304
regime,<lambda>,-0.028277417690143747,-0.01701097444189617,0.0684813850122142,0.33491908663935366,-0.23386937288752818,-0.23653901329049748,0.9184625540346635
regime,<lambda>,0.03406303440821834,0.10999295052186396,0.07506409221683796,0.3795613266312581,-0.07581475062451555,1.541586867136139,1.7331934205549477
regime_trend,mean,0.12575935455447987,0.18688742924868337,0.10629843284721303,0.5458904057295064,-0.09947019330087664,1.758679090124087,2.617904157910284
regime_trend,median,0.12625143920757936,0.18851828369413215,0.10611601744480831,0.5453497313512056,-0.09351696731771802,1.7784382258565228,2.5666240270365472
regime_trend,std,0.015323280326513214,0.047418832489429026,0.0026149656698171825,0.016726550425172744,0.02871551586071086,0.44604247066699154,0.6233110187878627
regime_trend,<lambda>,0.09990888083784721,0.10862681937633457,0.1022034776726301,0.5186254468533864,-0.1543875710058879,1.0163054058875238,1.721398095412985
regime_trend,<lambda>,0.14937040748384622,0.2640686756954031,0.11070430237129414,0.5711028497075161,-0.06215595457451692,2.4823231468471927,3.7447070090519907
