horizon_years,path,strategy,annual_return,annual_vol,sharpe,max_drawdown,terminal_equity,alpha_annual,beta
1,0,regime_trend,0.07141126840059416,0.12152102735066012,0.5876453644070204,-0.10946780892577479,1.0740228467081516,0.07726476323540361,0.6495192778257322
1,0,regime,0.022634731423894355,0.06788141894719478,0.3334451721096461,-0.0637649916538765,1.0228928406897202,0.024170080459010354,0.32576851125443945
1,0,benchmark,-0.013993818266002364,0.18109085014248794,-0.07727512602095352,-0.18228214482663574,0.9861036400744175,9.273616422996534e-06,0.996031746031746
1,1,regime_trend,0.23757377543033287,0.09644239423662476,2.463374922520457,-0.04924816498008233,1.268168553020335,0.07250644131553671,0.5504081909761908
1,1,regime,0.15803770865494116,0.07881875443671978,2.0050774689902378,-0.0535685751659406,1.1712103586422604,0.0309031216835766,0.42226047826101015
1,1,benchmark,0.29536885810921215,0.16136956623170895,1.830387631364733,-0.12901484261795393,1.3436218731170144,0.0012243231084443189,0.996031746031746
1,2,regime_trend,0.022896410722424668,0.107471258936455,0.21304682711461237,-0.14350422100483096,1.023160545595632,0.04731348016048601,0.5544670007866794
1,2,regime,-0.09451996935732165,0.07070818610840089,-1.3367613364089914,-0.14000738837125026,0.9098095661323032,-0.08067689133906551,0.33687566205044356
1,2,benchmark,-0.05022039272152884,0.1823900715690111,-0.2753460881368584,-0.21056141865219913,0.9510198035593633,-0.00013355373414692155,0.9960317460317462
1,3,regime_trend,0.043986402786603415,0.1019000304491849,0.4316623124910485,-0.08185887866536012,1.0449681461369686,0.044032615414566795,0.5747948895878123
1,3,regime,0.04277608242975767,0.06739086950105692,0.6347459640521004,-0.06413897357922371,1.0437041649828025,0.04200213749850564,0.3404661323754023
1,3,benchmark,-0.005380944926373615,0.1694818327816236,-0.03174939070494318,-0.17590773423670658,0.9946335064255148,3.544284859182756e-05,0.996031746031746
1,4,regime_trend,0.25818467894376135,0.10328744054988953,2.4996715725476215,-0.056607747654492946,1.2945778778240515,0.11139805249078957,0.5738069001189435
1,4,regime,0.12887095159442424,0.07130468528493379,1.8073279628043435,-0.043068432948821345,1.1375433165420172,0.034991421172019095,0.3635143482329105
1,4,benchmark,0.2511805403273151,0.1676685642819165,1.4980777189991457,-0.09814510262363962,1.2855421555830016,0.0010528468070616567,0.9960317460317459
1,5,regime_trend,0.20033472247047132,0.10730697436656844,1.8669310513416706,-0.05573740704474983,1.221811657538909,0.09680456421789685,0.5899889415193343
1,5,regime,0.11344061968680018,0.07161444044219704,1.5840467227885802,-0.03787228433453749,1.1201253735220456,0.04985795733490685,0.35696909057964393
1,5,benchmark,0.1703850904970753,0.1729092855110516,0.9854016225530294,-0.10266694694906064,1.1857613888532372,0.0007355231347161619,0.996031746031746
1,6,regime_trend,0.08726409697174496,0.11116867370272848,0.7849702084698271,-0.14226719149756906,1.0911848202747274,0.06297360510321676,0.6085419600006601
1,6,regime,0.07837050088012049,0.07063777376100548,1.10947014192828,-0.09060198942207875,1.081523289779145,0.06346744819463263,0.34760597921708153
1,6,benchmark,0.034840168776010344,0.17477957540941813,0.19933775839881662,-0.23887889809117135,1.0354541976612541,0.0001986612605605055,0.996031746031746
1,7,regime_trend,0.10353902550461053,0.09358321184211978,1.1063846117964702,-0.04149861706053426,1.1090890752813338,0.057738578132783935,0.5048528231234055
1,7,regime,0.08419271168994494,0.07338580956494381,1.1472614690642255,-0.05179996633920225,1.087838512808352,0.05052350922879439,0.36583960500692564
1,7,benchmark,0.08471880038456392,0.17162024278076699,0.4936410706095221,-0.11155302343657447,1.088410962918074,0.0003944683723682706,0.9960317460317462
1,8,regime_trend,0.17485813903103095,0.10463937977803325,1.6710548113143402,-0.06651011364935022,1.1910772372558598,0.06082877757313009,0.5393802470520914
1,8,regime,0.09862014898820534,0.06494698912773729,1.518471453607186,-0.04764185416658029,1.1036469984989137,0.031174549155372763,0.31387820123517807
1,8,benchmark,0.20513180632271355,0.18161784700780353,1.129469431018526,-0.11595628314560635,1.2276868711913367,0.0008795100635236581,0.996031746031746
1,9,regime_trend,0.02411723346923908,0.1095356038109876,0.22017711712125387,-0.14849630679435455,1.0244104060371333,0.042170279170960244,0.5903026749234809
1,9,regime,-0.03195850688509804,0.06804114111375435,-0.4696938699436025,-0.11909965363052,0.9685467692678311,-0.022807272101196964,0.3346808747268726
1,9,benchmark,-0.03586363407940142,0.17591599289132764,-0.20386795702853597,-0.24145959494663272,0.9647718465142615,-8.116367802239694e-05,0.9960317460317462
1,10,regime_trend,0.16664974844607022,0.09812447069214654,1.6983505467144207,-0.06428265523743537,1.1813404265186445,0.08336774022461227,0.5066491803405093
1,10,regime,0.12577723662526485,0.07386435413750717,1.7028137332808158,-0.04673641543042584,1.1340295199007642,0.06634561653656883,0.3574511859907183
1,10,benchmark,0.15802908224549367,0.17853939997257123,0.8851216161237881,-0.10100272529100407,1.1712002553457352,0.0006903298485081209,0.996031746031746
1,11,regime_trend,0.1510969818152194,0.08700849112731525,1.736577428910089,-0.04595697527434217,1.1631094530782582,0.08145926635570558,0.4910680052751905
1,11,regime,0.10084149566026643,0.07267053109017652,1.3876532089070974,-0.04168778617700497,1.106101306010864,0.046649655311527975,0.3800077145748717
1,11,benchmark,0.13609854886065237,0.16428970867954043,0.8284058079750019,-0.11000236114397488,1.1457948048036897,0.0005936037242076642,0.996031746031746
1,12,regime_trend,0.22082658184942416,0.1015463785119109,2.174637688566336,-0.07188521428102346,1.2471071407963943,0.038582452758756394,0.571397953261933
