exposure_map,annual_return,annual_vol,sharpe,max_drawdown
"{'low': 1.0, 'mid': 1.0, 'high': 0.5}",0.0881961562337973,0.11850951700145718,0.7442115913164413,-0.20660328643166692
"{'low': 1.25, 'mid': 1.0, 'high': 0.5}",0.08970440798124486,0.1257785119125897,0.7131934272174034,-0.20869782318177743
"{'low': 1.0, 'mid': 0.75, 'high': 0.25}",0.06144497368931691,0.08719598156483788,0.7046766672799843,-0.12335165867089382
"{'low': 1.0, 'mid': 0.5, 'high': 0.0}",0.03469379114483653,0.06736574682346697,0.5150064057888674,-0.11425764044312436
