regime,avg_log_return,avg_strategy_log_return,avg_exposure,obs
high,0.0005796656702688434,0.00014491641756721085,0.25,1370
low,7.256008263426171e-05,7.256008263426171e-05,1.0,1329
mid,0.0006894170254310212,0.0005170627690732659,0.75,1329
