date,regime,exposure,strategy_equity,benchmark_equity,drawdown
2010-01-19,mid,0.75,1.0093601481422176,1.0124996265993635,0.0
2010-01-20,mid,0.75,1.0013267027468755,1.001769328022842,-0.007958948458712256
2010-01-21,mid,0.75,0.9870652132919921,0.982790904884596,-0.02208818615561603
2010-01-22,high,0.25,0.9815556043918948,0.9610309425018895,-0.027546702533777112
2010-01-25,high,0.25,0.9826819862612797,0.9654498569687517,-0.02643076599570582
2010-01-26,high,0.25,0.9816477525453489,0.9613918785415304,-0.02745540890223863
2010-01-27,high,0.25,0.9828432146129028,0.9660836172431794,-0.026271032770731728
2010-01-28,high,0.25,0.9799265101494756,0.9546666913093178,-0.029160689617988456
2010-01-29,high,0.25,0.9775096162889303,0.9452831064525995,-0.03155517078013237
2010-02-01,high,0.25,0.9809774335985582,0.9587686181855459,-0.028119511748011305
2010-02-02,high,0.25,0.9841436143494301,0.971206673974932,-0.02498269209379822
2010-02-03,high,0.25,0.9827939633681636,0.9658899861793411,-0.02631982729152771
2010-02-04,high,0.25,0.9750517381280416,0.9358115172444474,-0.033990256180930656
2010-02-05,high,0.25,0.9757571823915849,0.9385226744984452,-0.033291353747699315
2010-02-08,high,0.25,0.9735878539080014,0.9302042753996786,-0.03544056529283135
2010-02-09,high,0.25,0.9767463788623697,0.9423342622323364,-0.032311330440255026
2010-02-10,high,0.25,0.9762007573217409,0.9402304317113098,-0.03285189224233631
2010-02-11,high,0.25,0.9785547417428236,0.9493322736993357,-0.030519737138515968
2010-02-12,high,0.25,0.9778826160005398,0.9467267431577425,-0.031185630024737843
2010-02-16,high,0.25,0.9822538732526382,0.9637685332973438,-0.026854908963336754
2010-02-17,high,0.25,0.9832929114543004,0.9678529452660214,-0.02582550612474188
2010-02-18,high,0.25,0.9849076124032706,0.9742260076390785,-0.024225778859957248
2010-02-19,high,0.25,0.9854455766560445,0.9763562717015614,-0.023692803337034052
2010-02-22,high,0.25,0.9851878165472662,0.9753351418460368,-0.023948173146564167
2010-02-23,high,0.25,0.9821933061843322,0.9635308463310781,-0.02691491437212723
2010-02-24,high,0.25,0.98457149728351,0.9728968088268255,-0.024558777067167248
2010-02-25,high,0.25,0.9840588638443806,0.9708721714767473,-0.025066656677901755
2010-02-26,mid,0.75,0.9850959136157901,0.9722366150109418,-0.024039223830153444
2010-03-01,mid,0.75,0.9925917520991291,0.9821130887077414,-0.01661289686733891
2010-03-02,mid,0.75,0.9943261305419789,0.9844018465655413,-0.01489460191975045
2010-03-03,mid,0.75,0.9946461881491234,0.9848243534151594,-0.01457751231825044
2010-03-04,mid,0.75,0.9974319752308779,0.9885037734417691,-0.01181755881019697
