parameter,value,model
const,0.00048023968927373686,arma
ar.L1,-0.9620879245367896,arma
ar.L2,0.03890456348273036,arma
ar.L3,0.18554777199755845,arma
ma.L1,0.8430580062422259,arma
ma.L2,-0.04497294917540246,arma
sigma2,0.00016860174206671062,arma
omega,3.372918584523807e-06,garch
alpha[1],0.1,garch
beta[1],0.88,garch
nu,8.516024687497989,garch
