trend_window,trend_threshold,rebalance,state_confirm,matrix_name,sizing_mode,train_excess_return,train_max_drawdown,train_benchmark_drawdown,train_pass_dd,train_sharpe,holdout_excess_return,holdout_max_drawdown,holdout_benchmark_drawdown,holdout_pass_dd,holdout_sharpe,train_drawdown_gap,holdout_drawdown_gap,label
21,0.15,daily,1,aggressive,matrix,0.0710172871056193,-0.0885843089814395,-0.1977821043568194,True,1.7816695563254057,0.0682084955210036,-0.0903428667301201,-0.3392496000265326,True,2.0853248328794822,0.1091977953753799,0.2489067332964125,tw21_th0.15_rebdaily_sc1_mxaggressive
21,0.25,daily,1,aggressive,matrix,0.0667398455289173,-0.0889082666159929,-0.1977821043568194,True,1.7208329205452744,0.068058025835953,-0.0913855046864295,-0.3392496000265326,True,2.101449449485635,0.1088738377408265,0.2478640953401031,tw21_th0.25_rebdaily_sc1_mxaggressive
21,0.35,daily,1,aggressive,matrix,0.0633677294396149,-0.0913863561114776,-0.1977821043568194,True,1.697682271982051,0.0662862388354021,-0.0913855046864298,-0.3392496000265326,True,2.111702590416426,0.10639574824534179,0.24786409534010279,tw21_th0.35_rebdaily_sc1_mxaggressive
21,0.15,daily,1,default,matrix,0.0621683611091635,-0.0729883157881743,-0.1977821043568194,True,1.9555139729556463,0.0538249586737789,-0.0602100766558261,-0.3392496000265326,True,2.289778149087555,0.12479378856864509,0.2790395233707065,tw21_th0.15_rebdaily_sc1_mxdefault
21,0.25,daily,1,default,matrix,0.0578909195324615,-0.0729883157881743,-0.1977821043568194,True,1.886006057562111,0.0536744889887282,-0.0581479816267539,-0.3392496000265326,True,2.3167442997701357,0.12479378856864509,0.2811016183997787,tw21_th0.25_rebdaily_sc1_mxdefault
21,0.5,daily,1,aggressive,matrix,0.0559836687990186,-0.0885843089814395,-0.1977821043568194,True,1.6330611665080983,0.0603155151605245,-0.0913855046864297,-0.3392496000265326,True,2.055584067620239,0.1091977953753799,0.2478640953401029,tw21_th0.5_rebdaily_sc1_mxaggressive
21,0.35,daily,1,default,matrix,0.0545188034431591,-0.0748222896384617,-0.1977821043568194,True,1.8634567008067535,0.0519027019881774,-0.052943438273504,-0.3392496000265326,True,2.3357139987022535,0.1229598147183577,0.2863061617530286,tw21_th0.35_rebdaily_sc1_mxdefault
21,0.5,daily,1,default,matrix,0.0471347428025627,-0.0729883157881743,-0.1977821043568194,True,1.7930384431299655,0.0459319783132997,-0.0671955052110555,-0.3392496000265326,True,2.2802308103819597,0.12479378856864509,0.2720540948154771,tw21_th0.5_rebdaily_sc1_mxdefault
42,0.35,daily,1,aggressive,matrix,0.0422887306912446,-0.0885843089814395,-0.1977821043568194,True,1.4534575650855392,0.0162528838793463,-0.1047377496285366,-0.3392496000265326,True,1.5728042942146676,0.1091977953753799,0.234511850397996,tw42_th0.35_rebdaily_sc1_mxaggressive
42,0.5,daily,1,aggressive,matrix,0.0378765395017557,-0.0885843089814395,-0.1977821043568194,True,1.4153882478915258,0.0083695534414063,-0.1077160458948395,-0.3392496000265326,True,1.5129480631090189,0.1091977953753799,0.23153355413169308,tw42_th0.5_rebdaily_sc1_mxaggressive
42,0.25,daily,1,aggressive,matrix,0.0378560895600011,-0.0885843089814395,-0.1977821043568194,True,1.3870208512570947,0.0143744219798419,-0.0972130266064861,-0.3392496000265326,True,1.5441348808139206,0.1091977953753799,0.24203657342004647,tw42_th0.25_rebdaily_sc1_mxaggressive
42,0.15,daily,1,aggressive,matrix,0.0341871123273879,-0.0885843089814395,-0.1977821043568194,True,1.338712262605289,0.0179668582028184,-0.0953013374822481,-0.3392496000265326,True,1.5747412024191565,0.1091977953753799,0.24394826254428448,tw42_th0.15_rebdaily_sc1_mxaggressive
42,0.35,daily,1,default,matrix,0.0334398046947888,-0.0729883157881743,-0.1977821043568194,True,1.572556432213885,0.0018693470321216,-0.0915592670059661,-0.3392496000265326,True,1.68706094168631,0.12479378856864509,0.24769033302056648,tw42_th0.35_rebdaily_sc1_mxdefault
84,0.15,daily,1,aggressive,matrix,0.0330570145610889,-0.0885843089814395,-0.1977821043568194,True,1.3840232415699505,-0.0066523007358845,-0.1228247766210519,-0.3392496000265326,True,1.3638148901417932,0.1091977953753799,0.2164248234054807,tw84_th0.15_rebdaily_sc1_mxaggressive
84,0.35,daily,1,aggressive,matrix,0.0315343866748714,-0.0885843089814395,-0.1977821043568194,True,1.3646998357653752,-0.0093593713880664,-0.123993766128448,-0.3392496000265326,True,1.3665104326164683,0.1091977953753799,0.21525583389808461,tw84_th0.35_rebdaily_sc1_mxaggressive
84,0.5,daily,1,aggressive,matrix,0.03034748682787,-0.0885843089814395,-0.1977821043568194,True,1.3529614179528118,-0.0088856546064086,-0.1157892521193573,-0.3392496000265326,True,1.3836158117553452,0.1091977953753799,0.22346034790717528,tw84_th0.5_rebdaily_sc1_mxaggressive
84,0.25,daily,1,aggressive,matrix,0.0291400734658834,-0.0885843089814395,-0.1977821043568194,True,1.340585618999878,-0.0106374259582796,-0.1228247766210517,-0.3392496000265326,True,1.3351473564878376,0.1091977953753799,0.2164248234054809,tw84_th0.25_rebdaily_sc1_mxaggressive
42,0.5,daily,1,default,matrix,0.0290276135052999,-0.0729883157881743,-0.1977821043568194,True,1.531240993587805,-0.0060139834058182,-0.0910287235951272,-0.3392496000265326,True,1.6212915048925272,0.12479378856864509,0.2482208764314054,tw42_th0.5_rebdaily_sc1_mxdefault
