variant,aic,bic,loglikelihood
EGARCH_t,-7901.867534403713,-7876.189097668572,3955.9337672018564
GJR_t,-7883.721046985211,-7858.04261025007,3946.8605234926054
GARCH_t,-7860.3008467987365,-7839.758097410624,3934.1504233993683
EGARCH,-7856.105501917832,-7835.56275252972,3932.052750958916
GJR,-7849.935517072829,-7829.392767684716,3928.9677585364143
GARCH,-7829.76469396406,-7814.357631922975,3917.88234698203
