horizon_years,path,strategy,annual_return,annual_vol,sharpe,max_drawdown,terminal_equity,alpha_annual,beta
5,0,layered,0.13630175798890914,0.10490629834038578,1.2992714464736486,-0.09488688605881246,1.9768581469490816,0.11818449182214749,0.5664712474198706
5,0,regime,0.006548422521358711,0.07505964595294781,0.08724291779185425,-0.19625955563866315,1.0332840339526475,-0.006758693881793065,0.38597655125735736
5,0,benchmark,0.027752750167779523,0.16747486101118703,0.16571293148244912,-0.36314725664328995,1.1488526524648657,3.31497795730423e-05,0.9992063492063491
5,1,layered,0.2812426667784337,0.10685598115421166,2.631978703864521,-0.07278814931287447,4.080474717157547,0.16770745036606843,0.5297934428278125
5,1,regime,0.09669907641007701,0.07397708151477948,1.307149111995693,-0.14186014613510922,1.62173308351563,0.018989803891870088,0.3569892999676203
5,1,benchmark,0.2094336181917505,0.17814064348259825,1.175664430628427,-0.20508872367696163,2.8495699579810476,0.00017888515650965218,0.9992063492063493
5,2,layered,0.11478654379218989,0.10904865982526041,1.0526176477191362,-0.16753721017700918,1.7752348409935095,0.11988728778801573,0.5671249371406183
5,2,regime,-0.026325243210650152,0.07474948521349382,-0.3521795920796241,-0.31552258075807116,0.8766686185015858,-0.02410398801464376,0.3706442013409941
5,2,benchmark,-0.013486228598010186,0.17342406108984382,-0.07776446078623156,-0.4585919591242119,0.9347920853879439,1.2237488259979626e-06,0.9992063492063492
5,3,layered,0.19185858857095603,0.10778420539842112,1.7800250775311321,-0.0668782486837266,2.609850507449057,0.12886852493258988,0.5432938783876321
5,3,regime,0.05312584505275849,0.07120620988265995,0.7460844375835208,-0.09797650472683439,1.304251385562151,0.011304800531676467,0.34991238307041217
5,3,benchmark,0.11129693274959285,0.17581925972681767,0.6330190044169363,-0.20050299220706214,1.7445291021719003,0.0001006159287427308,0.9992063492063491
5,4,layered,0.17719784572389383,0.10809436397527374,1.6392884809834054,-0.07403733081956576,2.425382462915023,0.12034491322659782,0.5453067861881097
5,4,regime,0.014400849624613023,0.06967935524794268,0.20667311821944873,-0.10558206935739267,1.0746599093416647,-0.02227182187045264,0.3397017119812054
5,4,benchmark,0.09926543546526083,0.1778523702738518,0.5581338911166315,-0.18216082446667803,1.642676916549653,9.134936725291288e-05,0.9992063492063491
5,5,layered,0.16400908584790627,0.10516748676273678,1.559503710666008,-0.10839247464563218,2.2706029869563635,0.1429096002390796,0.5147590034551022
5,5,regime,0.04528541359140775,0.06955294388389492,0.6510926937471248,-0.14647839761101533,1.254111141610804,0.03019268844502516,0.3378568046408256
5,5,benchmark,0.035921841184925654,0.17848981025352723,0.20125429644360207,-0.3641811118362135,1.1967495890769855,4.114404911189208e-05,0.9992063492063491
5,6,layered,0.19625834375674797,0.10157604042543292,1.9321322521999806,-0.06406267913443264,2.667900193935456,0.09515044571421735,0.5110155909495491
5,6,regime,0.049440869450077946,0.07037699591684886,0.7025146328850529,-0.06266133072429414,1.2804407405905243,-0.020383429311072794,0.3474283925348758
5,6,benchmark,0.19267710657591333,0.17528737499775052,1.099206982695622,-0.13703213901726907,2.620553442024789,0.00016516862900911545,0.9992063492063491
5,7,layered,0.14411279587156206,0.10669968843074935,1.3506393316705392,-0.09769794396152365,2.055592195357699,0.10586077599142935,0.5566914150192711
5,7,regime,0.021959507552763515,0.07139444244571871,0.3075800692674273,-0.2403698218204402,1.1160520891816341,-0.0038418424102015214,0.3587739768256169
5,7,benchmark,0.06424976889938584,0.17183604361070484,0.3739015840293898,-0.3862277222852337,1.3788486571060894,6.271093523349059e-05,0.9992063492063492
5,8,layered,0.2060396560237688,0.10889512332072232,1.8920925909320336,-0.07942997596251566,2.8016212854312728,0.10388543274711817,0.5786398143176753
5,8,regime,0.06723631149630889,0.07411419594832966,0.9071988252181021,-0.1132202722746366,1.3995931083447868,0.00010061796338528485,0.37385369388691836
5,8,benchmark,0.17243603593333026,0.16998930143212485,1.0143934617096029,-0.1881436166692747,2.368318428951023,0.0001483683094574981,0.9992063492063492
5,9,layered,0.1698386952958993,0.10541935615996233,1.6110769547689863,-0.07643836183882058,2.3377606324526736,0.10532795149470421,0.5393156242909649
5,9,regime,0.03588070140947249,0.07392776990469514,0.48534808307796273,-0.12333434881744987,1.1965034443468598,-0.008706829693156679,0.3639071224665155
5,9,benchmark,0.11471899847633822,0.17489581829763884,0.6559276236159557,-0.18002489475577355,1.774635398232857,0.00010320249189001846,0.9992063492063491
5,10,layered,0.1258418369763858,0.1059063785671804,1.1882366168961163,-0.18143940275848291,1.8761263233957537,0.11725090074912231,0.5465608004514492
5,10,regime,-0.0008883626574729075,0.07106962838639687,-0.012499891692735306,-0.22057886505921176,0.9955680369755359,-0.007640951984840685,0.35623985028942073
5,10,benchmark,0.011187406161264313,0.1724239546754192,0.06488313171058008,-0.4119778384368252,1.0575310897599368,2.0665781878888517e-05,0.9992063492063491
5,11,layered,0.26498919944173693,0.1062922172550083,2.4930254188412944,-0.061120756459271286,3.7619821919750334,0.1374709480614059,0.5568261408767096
5,11,regime,0.08500197532057563,0.07245677000872024,1.1731405541586462,-0.08549237726533254,1.5296055268951243,0.0008499846071014648,0.36250106922952396
5,11,benchmark,0.22448552431972496,0.17218563655955813,1.3037412922771672,-0.1758222366980119,3.0723035479901277,0.0001900158610900777,0.9992063492063492
5,12,layered,0.149232175877182,0.10775402914112175,1.3849336035661157,-0.09980355162738086,2.108888179332987,0.12901629417760863,0.5614860419027404
5,12,regime,0.020020009262916916,0.07540042794024934,0.2655158572678349,-0.21577230274284054,1.1052814918841456,0.005210825443782555,0.3801507485505196
