strategy,,alpha_annual,annual_return,annual_vol,beta,max_drawdown,sharpe,terminal_equity
benchmark,mean,9.713043207940226e-05,0.10721919206519072,0.17394884984205478,0.9992063492063494,-0.2659940299552883,0.6170340563408958,1.8440419250237783
benchmark,median,9.904820537773589e-05,0.10919953783224254,0.1740948247678098,0.9992063492063492,-0.25202643653647117,0.6293114606182326,1.7263308681220901
benchmark,std,6.217728217328304e-05,0.07833150544187674,0.003505240342857532,2.3716001672752727e-16,0.07786874311424004,0.450769277227208,0.7325195111496768
benchmark,<lambda>,-8.932282318485191e-06,-0.025979534521665425,0.16812620885918805,0.9992063492063491,-0.4188949040862374,-0.1513708498479589,0.8781858324857464
benchmark,<lambda>,0.0001959617572086178,0.23159091026349146,0.179610068400012,0.9992063492063493,-0.16259651968358818,1.3271890008435165,3.183415744987508
layered,mean,0.12585040621950036,0.18693741479328768,0.10643641645934336,0.546099614937001,-0.09969338851524215,1.7568568872999815,2.618797837001911
layered,median,0.1265737529262128,0.18849547925260163,0.10626293833554037,0.5453716565365392,-0.09421523417884492,1.7762541714545077,2.5663318563252604
layered,std,0.015329296582532837,0.04749878661013355,0.0026195445352044876,0.016750490210927813,0.02881962091584564,0.44617471973850936,0.6244786580604879
layered,<lambda>,0.10016714440776749,0.10848941394253715,0.10231772723442918,0.5187755076183808,-0.1560360474598835,1.011386658233457,1.7202156247348521
layered,<lambda>,0.14978476777867364,0.26418275348215636,0.11081569041191779,0.571827296659044,-0.06235283759131383,2.483061116166026,3.746845162207604
regime,mean,0.0040630914631056385,0.045191494971303765,0.07196567137313326,0.35735144829184307,-0.14335323435974726,0.6281100152965223,1.2776535877378912
regime,median,0.004312919099042312,0.045869946972102074,0.07193422115558024,0.3568343201834362,-0.13472833155627267,0.6446331295356219,1.2577818785554582
regime,std,0.019693599646154577,0.03913709220122881,0.001980746375730405,0.01406270824890268,0.05119965098923296,0.5431086842297146,0.2510970256160203
regime,<lambda>,-0.029000096015377046,-0.016237870472104288,0.06864526420517118,0.33513577054089205,-0.23443354247887968,-0.22535513204181323,0.9220202901484758
regime,<lambda>,0.03407049998028736,0.1111504419259369,0.07525315525085097,0.3813269505588795,-0.07574653565640004,1.5400387815022174,1.7432518169188695
