strategy,,alpha_annual,annual_return,annual_vol,beta,max_drawdown,sharpe,terminal_equity
benchmark,mean,0.00048430116511078146,0.10700241055926465,0.17313587176923692,0.996031746031746,-0.15053964835293088,0.6205403650608163,1.127849613028318
benchmark,median,0.0004850700018370459,0.10653415222367568,0.17270322570415012,0.996031746031746,-0.14029260058675963,0.6269425739688386,1.1124162498362897
benchmark,std,0.0006492164862256452,0.16356155582910412,0.007774727327018299,7.270542938866875e-17,0.054590256199422926,0.9471347750693558,0.1847064411667755
benchmark,<lambda>,-0.0005975047580715634,-0.16461477101635552,0.16101120472913505,0.9960317460317459,-0.25555039172594524,-0.966980494386832,0.8482207538315658
benchmark,<lambda>,0.001502452331474987,0.36219742964492646,0.18704892275141716,0.9960317460317462,-0.08195878680148351,2.090907410041933,1.4364825943683457
layered,mean,0.06170151150808732,0.1239127379718922,0.10099898251890727,0.5471749084669786,-0.07683968994995687,1.225390808845903,1.1372728476069833
layered,median,0.061306120477663234,0.12543822050753228,0.10099657552791899,0.5479137209951005,-0.07013777822708828,1.272394447082795,1.1336451553794706
layered,std,0.026689898942298253,0.09727702789403797,0.00753527490827846,0.04539586763749957,0.030513215483368442,0.9492485785156932,0.11082435826734527
layered,<lambda>,0.020217806076447402,-0.03143785053893814,0.08887137274693664,0.473639305391075,-0.1382423056923308,-0.29182794612450813,0.9690514783136898
layered,<lambda>,0.10394731952762881,0.28305680182913695,0.11320537163019098,0.6201139693593558,-0.04065907625513024,2.765862570521695,1.3271805466537774
regime,mean,0.006683085838727422,0.04817972680276424,0.0723098468362364,0.36162141175173507,-0.07376372581746564,0.6625357630417331,1.0526398178879994
regime,median,0.007326444113601295,0.04892067247945852,0.072582571580768,0.3600002280948651,-0.06751082905228678,0.6899587977417903,1.050137045652157
regime,std,0.040854069129002045,0.07912247458085579,0.004735770244502076,0.033528184938943516,0.03121720761351162,1.082862530682731,0.08332594090373519
regime,<lambda>,-0.05941557612362297,-0.08366248142710794,0.06450733476034427,0.31179947400302366,-0.13451939540549246,-1.1696756758562326,0.9197416515583458
regime,<lambda>,0.07246722427222599,0.17534872919264796,0.0801295106972842,0.41669563102940166,-0.03429415580375861,2.3954465140321433,1.1916617299694694
