variant,aic,bic,loglikelihood
EGARCH_t,-1722.8181718052842,-1705.2309073229608,866.4090859026421
EGARCH,-1715.3592407123924,-1701.2894291265336,861.6796203561962
GJR_t,-1712.1694229091004,-1694.582158426777,861.0847114545502
GARCH_t,-1704.6168068069464,-1690.5469952210876,856.3084034034732
GJR,-1700.9580148574314,-1686.8882032715726,854.4790074287157
GARCH,-1694.3470576898058,-1683.7946990004116,850.1735288449029
