run_id,started_at_utc,ended_at_utc,status,data_end_date,objective,evaluation,drawdown_cap,cost_bps,frozen_config_path,reports_dir,notes
run_ec99a9da2ad8,2026-01-22T20:33:08Z,2026-01-22T20:34:00Z,success,2026-01-22,sortino_net,walk_forward,-0.2,5.0,/Users/alexj/code/ARMA-GARCH_EquityMarketVolatilityRegimeAnalysis/configs/active/regime_trend_best_run_ec99a9da2ad8.json,/Users/alexj/code/ARMA-GARCH_EquityMarketVolatilityRegimeAnalysis/reports,
run_84646c6ac650,2026-01-22T20:38:03Z,2026-01-22T20:38:55Z,success,2026-01-22,sortino_net,walk_forward,-0.2,5.0,/Users/alexj/code/ARMA-GARCH_EquityMarketVolatilityRegimeAnalysis/configs/active/regime_trend_best_run_84646c6ac650.json,/Users/alexj/code/ARMA-GARCH_EquityMarketVolatilityRegimeAnalysis/reports,
