regime,avg_log_return,avg_strategy_log_return,avg_exposure,obs
high,0.0008781461181849211,0.00021953652954623026,0.25,83
low,-0.000497553759915945,-0.000497553759915945,1.0,80
mid,0.0011904594798347495,0.000892844609876062,0.75,80
