exposure_map,annual_return,annual_vol,sharpe,max_drawdown
"{'low': 1.0, 'mid': 1.0, 'high': 0.5}",0.09527831859070371,0.12603043976647463,0.7559944944034759,-0.12129890851019565
"{'low': 1.25, 'mid': 1.0, 'high': 0.5}",0.08495868505170633,0.1342853862938454,0.6326726041938651,-0.12602127410665476
"{'low': 1.0, 'mid': 0.75, 'high': 0.25}",0.051690903650966735,0.09283630573748343,0.5567962150188847,-0.07902338836473888
"{'low': 1.0, 'mid': 0.5, 'high': 0.0}",0.008103488711229729,0.07240153446299703,0.11192426750804928,-0.061567887081047434
