date,cond_vol
2020-01-22,0.02220464107890925
2020-01-23,0.020910694147367313
2020-01-24,0.019702763597062082
2020-01-27,0.018812788120258103
2020-01-28,0.01861838638920308
2020-01-29,0.01775447633635016
2020-01-30,0.016777071578325475
2020-01-31,0.01586009989447945
2020-02-03,0.016174713251244005
2020-02-04,0.015377498932317765
2020-02-05,0.01537354531580602
2020-02-06,0.015265718796386864
2020-02-07,0.014438134673299114
2020-02-10,0.013771637522624346
2020-02-11,0.013096045950893727
2020-02-12,0.012495127970639635
2020-02-13,0.01194991497528249
2020-02-14,0.011366814697234533
2020-02-18,0.01082014654848526
2020-02-19,0.010368149134146201
2020-02-20,0.009981709452368339
2020-02-21,0.009623609336066565
2020-02-24,0.009871411281700203
2020-02-25,0.014922940292253854
2020-02-26,0.017549592698378507
2020-02-27,0.016633839866539702
2020-02-28,0.02008745452934855
2020-03-02,0.019412762824343902
2020-03-03,0.023845176715488078
2020-03-04,0.0232090698353804
2020-03-05,0.023919811570445888
2020-03-06,0.024383247260120325
2020-03-09,0.023907320724084285
2020-03-10,0.035339754731074015
2020-03-11,0.03679261287439305
2020-03-12,0.03730876517198266
2020-03-13,0.04646963019314654
2020-03-16,0.04811955827311287
2020-03-17,0.053110403887477314
2020-03-18,0.05058146644052516
2020-03-19,0.04885148730708118
2020-03-20,0.04590120275246105
2020-03-23,0.046590364991308184
2020-03-24,0.044038586276752674
2020-03-25,0.04722667914330902
2020-03-26,0.04654537925518154
2020-03-27,0.045347288331893686
2020-03-30,0.04326119989902832
2020-03-31,0.040970060334127215
2020-04-01,0.03861781021907313
2020-04-02,0.0391883027376247
2020-04-03,0.03699917693056328
2020-04-06,0.034761263070374804
2020-04-07,0.03808821505049454
2020-04-08,0.035846220045282255
2020-04-09,0.03483361863124877
2020-04-13,0.03287488182730698
2020-04-14,0.030937003678960438
2020-04-15,0.02960279754206495
2020-04-16,0.02806375431432636
2020-04-17,0.026444103556821717
2020-04-20,0.026673881607306202
2020-04-21,0.025560665224566567
2020-04-22,0.026752106837621432
2020-04-23,0.025813263727520123
2020-04-24,0.024415276102659377
2020-04-27,0.02326105919881434
2020-04-28,0.02231525362435089
2020-04-29,0.021041639568576246
2020-04-30,0.020876747178750436
2020-05-01,0.019732418973990383
2020-05-04,0.02134958224066321
2020-05-05,0.02011319463151478
2020-05-06,0.019483829075467304
2020-05-07,0.01847035610626173
2020-05-08,0.017630299983272858
2020-05-11,0.017592809071860147
2020-05-12,0.016611368656850124
2020-05-13,0.01750890718135877
2020-05-14,0.017777751601805614
2020-05-15,0.017122752280174847
2020-05-18,0.01639380615064215
2020-05-19,0.018165658946271316
2020-05-20,0.01736072157551494
2020-05-21,0.016845688805564907
2020-05-22,0.016154627454186537
2020-05-26,0.0153021312168762
2020-05-27,0.014672579288918082
2020-05-28,0.015350512193016728
2020-05-29,0.01467490569879973
2020-06-01,0.014007062511030973
2020-06-02,0.013267810513610033
2020-06-03,0.013108881442557813
2020-06-04,0.012808173087757484
2020-06-05,0.012154771316018432
2020-06-08,0.013176859990536943
2020-06-09,0.013571359908973867
2020-06-10,0.01330346374786211
2020-06-11,0.01294220774772166
2020-06-12,0.022971234242359605
2020-06-15,0.02173052334757529
2020-06-16,0.02100094930539016
2020-06-17,0.021242556855272956
2020-06-18,0.020214822495018863
2020-06-19,0.01907163348247114
2020-06-22,0.01838024514279293
2020-06-23,0.01768945493789361
2020-06-24,0.016695513706560496
2020-06-25,0.01717737146621692
2020-06-26,0.01622652849712234
2020-06-29,0.01624866351661435
2020-06-30,0.01561452602012735
2020-07-01,0.01594560624495964
2020-07-02,0.015241933931039627
2020-07-06,0.014415667964658025
2020-07-07,0.014619153772297515
2020-07-08,0.014316990521272966
2020-07-09,0.013670511278375002
2020-07-10,0.013128744655383556
2020-07-13,0.012996917054993461
2020-07-14,0.012871167218420488
2020-07-15,0.013040517793055014
2020-07-16,0.012552519257394187
2020-07-17,0.01191941737886995
2020-07-20,0.01141391451031583
2020-07-21,0.01155113759303271
2020-07-22,0.010997467180551375
2020-07-23,0.010727375037567327
2020-07-24,0.011344940516947911
2020-07-27,0.010970678604238992
2020-07-28,0.010547127748499429
2020-07-29,0.010077463181373003
2020-07-30,0.009938588931240564
2020-07-31,0.009503445378319828
2020-08-03,0.009219906843786239
2020-08-04,0.009162015371897717
2020-08-05,0.008873266385066247
2020-08-06,0.008638492541964258
2020-08-07,0.008575664877417458
2020-08-10,0.00825268960928226
2020-08-11,0.007975212459278309
2020-08-12,0.008200018485559107
2020-08-13,0.008871542051714183
2020-08-14,0.008526469815040823
2020-08-17,0.0082102600910392
2020-08-18,0.007918058248130485
2020-08-19,0.007787158066218441
2020-08-20,0.007848655798480108
2020-08-21,0.0076716753987378285
2020-08-24,0.007455787449137894
2020-08-25,0.008106354740353615
2020-08-26,0.007848002246118304
2020-08-27,0.00829404795252969
2020-08-28,0.007994676693299509
2020-08-31,0.008041066334919354
2020-09-01,0.007894011512901818
2020-09-02,0.008048754207442086
2020-09-03,0.008855377210538373
2020-09-04,0.013405965980876657
2020-09-08,0.01381956604463229
2020-09-09,0.015341408853633547
2020-09-10,0.015767324807257732
2020-09-11,0.015582343396682926
2020-09-14,0.014732472479146894
2020-09-15,0.01420582982737125
2020-09-16,0.014026204409347704
2020-09-17,0.013753160652841726
2020-09-18,0.013180286018273046
2020-09-21,0.013513403230811395
2020-09-22,0.013100909589428117
2020-09-23,0.012623909138890712
2020-09-24,0.013343912464708608
2020-09-25,0.01269293607052971
2020-09-28,0.013430475448791225
