regime,trend_state,avg_log_return,avg_strategy_log_return,avg_exposure,obs
high,neutral,0.0007955996256219867,0.0003977998128109934,0.5,217
high,strong_down,-0.0008171632935129716,-0.00016343265870259434,0.19999999999999998,713
high,strong_up,0.0027788830704461626,0.00222310645635693,0.8,435
low,neutral,-0.0004605279882791621,-0.0004144751894512458,0.9,225
low,strong_down,-0.0026581143080002248,-0.001594868584800135,0.6,312
low,strong_up,0.0013669783148662095,0.0016403739778394514,1.2,788
mid,neutral,0.0011555395573295667,0.0008088776901306966,0.7,167
mid,strong_down,-0.0014387511267149626,-0.0005755004506859851,0.4,549
mid,strong_up,0.0023847051539627336,0.0023847051539627336,1.0,608
