variant,aic,bic,loglikelihood
EGARCH_t,-27176.747933183025,-27145.23164757876,13593.373966591513
GJR_t,-27132.592733673257,-27101.07644806899,13571.296366836628
GARCH_t,-26954.669812494325,-26929.456784010912,13481.334906247163
EGARCH,-26923.041854306728,-26897.828825823315,13465.520927153364
GJR,-26872.738026589926,-26847.524998106514,13440.369013294963
GARCH,-26702.019118585624,-26683.109347223064,13354.009559292812
