variant,corr,rmse,qlike
GARCH,0.9587630485302574,3.029840597778953,6.196896254804114
GARCH_t,0.9510247175853215,3.290711976137359,6.1931411672976555
GJR,0.8898672018614315,4.375403800086177,6.227695013972412
GJR_t,0.8852799695330684,4.389432923268246,6.229316402149533
EGARCH_t,0.8173441162242835,5.410291140912658,6.272308020677652
EGARCH,0.8084698477463216,5.49122937971256,6.276428630120869
