date,GARCH,GARCH_t,GJR,GJR_t,EGARCH,EGARCH_t
2010-01-05,0.009799516688949492,0.00982987573271574,0.00983622336097003,0.00982987573271574,0.009790853407565109,0.009796159033110962
2010-01-06,0.009330800590309947,0.009385654213646786,0.009312601518172788,0.00929975059469334,0.009038335907826628,0.00909628647563707
2010-01-07,0.008863872248148752,0.008937851171851089,0.008827965081454484,0.008808702481217784,0.008327231380961257,0.008482116986334965
2010-01-08,0.008502431472863939,0.008590585897807446,0.008390385218512365,0.008364834728947633,0.0077764772777155775,0.007910104773653401
2010-01-11,0.008152589131327997,0.008250924018808753,0.007987993481612995,0.00795627159222737,0.00727795413915571,0.0073974906526355815
2010-01-12,0.007796748468561067,0.007901676756301091,0.007616708663341424,0.007578930879107386,0.006802360185362343,0.006942999378192523
2010-01-13,0.008083321574882058,0.008189317015314264,0.008571156275335008,0.008534772950040462,0.008342670900699733,0.008509911774550061
2010-01-14,0.008005541441378307,0.008115956355154646,0.008175992719739511,0.008134643667956729,0.007871239253512264,0.00791407875982372
2010-01-15,0.007727098186062068,0.007841615451617254,0.007794711551374352,0.007748359621862408,0.007376697221856227,0.007397081767719849
2010-01-19,0.008249950820735645,0.008362675715833,0.009144389643955768,0.009103562210281654,0.009216906157637716,0.009292528440611273
2010-01-20,0.008556451442861959,0.00867285039745074,0.008738600402611171,0.00869385687813253,0.008732639813376655,0.008593671155839642
2010-01-21,0.008643605222709077,0.008766408840616946,0.00929278058676362,0.009249562400267438,0.009794833705691048,0.009773637809418482
2010-01-22,0.010656801748633985,0.010780910279437372,0.013216722367270485,0.013187427169817011,0.013564431684941865,0.01366145141787916
2010-01-25,0.01263925703461217,0.012780994331335553,0.016664171988536047,0.016642400456964756,0.017115966986100253,0.01743556942631062
2010-01-26,0.011945795219193719,0.012122549481961137,0.015625009433894013,0.015601229598057334,0.015328558097081583,0.01586915383240527
2010-01-27,0.011303908901287088,0.011508677680810013,0.014714000063791848,0.014688141691474263,0.014220072214407051,0.014988817178809136
2010-01-28,0.010739669678690287,0.010965807322325018,0.013818769074988543,0.013790534964377333,0.01288175581944537,0.013709377714723008
2010-01-29,0.010790290307453591,0.011025372670150954,0.01402525479483091,0.013997316064539309,0.01379061353923392,0.014729975398861906
2010-02-01,0.010871192137352386,0.01111410146164217,0.014262282886642597,0.014234760962081571,0.014619672878898418,0.015683806839674644
2010-02-02,0.011108037985958653,0.011356489305998559,0.013462156541982252,0.013432352185098358,0.013454345174767958,0.014262321863194854
2010-02-03,0.011451866909624173,0.011705538766658776,0.012738067227415405,0.012705883381072513,0.01248688513467548,0.012999237128659443
2010-02-04,0.010949759717459652,0.011221050689504812,0.012243509278685978,0.0122094599667908,0.012277889090180757,0.012938568120708684
2010-02-05,0.014770392346072803,0.015010976783036157,0.01919189981392174,0.019173258858910674,0.01858285968825295,0.019237022555200392
2010-02-08,0.013883966335063084,0.014166024533470545,0.01797151900590879,0.017951354075142454,0.016602744485601305,0.01756945076699655
2010-02-09,0.013250478283000256,0.01356335113570778,0.01714587635615307,0.01712454090406668,0.01606330942603516,0.017244630030830807
2010-02-10,0.012977088215882062,0.013309376470158268,0.016109403293443084,0.016086233557293664,0.014634300583476737,0.01564908688693592
2010-02-11,0.012224960928442299,0.01258134467445001,0.01511162220655941,0.015086371674971084,0.013278857168653443,0.01444458181515797
2010-02-12,0.01180718299966869,0.012175319807775427,0.014205621093101087,0.01417813503075627,0.012181829579611211,0.013200542961946341
2010-02-16,0.011160406647556844,0.011542010311149521,0.013375864804784674,0.013346006955168101,0.011400147308765627,0.012502770467031537
2010-02-17,0.011750726364686609,0.012113568695670499,0.012682339989299124,0.012650135422969182,0.010769322022496041,0.011426340561803567
2010-02-18,0.011240821422896605,0.01161416077930486,0.011947655829223148,0.011912718333172203,0.009964691004645844,0.010534269580327313
2010-02-19,0.010756151312479437,0.011135749358235116,0.011267648101155547,0.011229821500255957,0.009256499169773174,0.009739936532449292
2010-02-22,0.010195410140957881,0.01058007225522815,0.010629125992709399,0.010588225389442988,0.008560064959355653,0.009049084859088745
2010-02-23,0.00967148623787044,0.010056842772297863,0.01006818196840232,0.010024208002739139,0.008197168686657914,0.008738870782188265
2010-02-24,0.010031763691549025,0.010390884468855754,0.011204796600598279,0.011165507804662035,0.010186956196213013,0.0107243562921788
2010-02-25,0.009831725847000452,0.010184275258142339,0.010598998456538267,0.010556827954714111,0.009511269512421034,0.00989395082324298
2010-02-26,0.009325697324313782,0.009678828289697553,0.010016644570192737,0.009971364133354286,0.008862203394483055,0.009331945251993436
2010-03-01,0.008858359611145637,0.009208081081759741,0.009474679632003236,0.009426130237839865,0.008166130500493543,0.008695780908368344
2010-03-02,0.008989386166381745,0.009316973639771079,0.00903129686308568,0.008979687670106705,0.007795849139525879,0.008061252891288504
2010-03-03,0.008597115425318415,0.008919221844318115,0.0085746062242718,0.008519566491413525,0.007296216660769569,0.007533743775550634
2010-03-04,0.008192331563817263,0.00850724305758868,0.008153839773512547,0.00809528024628419,0.006859768355626225,0.007148247009172569
2010-03-05,0.007884698683986335,0.008187700533269197,0.007773364936107469,0.0077112660602857526,0.0064770123474968515,0.00670535208923203
2010-03-08,0.008704012551107488,0.00896825236015871,0.00754732224666872,0.007482736580089295,0.006406249647852913,0.006235180467693349
2010-03-09,0.00829122566114954,0.008553632122808493,0.007214210300525628,0.007146016706996657,0.006011724807200123,0.005891492740972123
2010-03-10,0.007912678992305654,0.008169885419572968,0.006911215296450015,0.0068394202943689265,0.0056540212202954385,0.005579519838852958
