trend_window,trend_threshold,rebalance,state_confirm,matrix_name,sizing_mode,train_excess_return,train_max_drawdown,train_benchmark_drawdown,train_pass_dd,train_sharpe,holdout_excess_return,holdout_max_drawdown,holdout_benchmark_drawdown,holdout_pass_dd,holdout_sharpe
42,0.35,daily,1,default,matrix,0.03343980469478883,-0.07298831578817433,-0.19778210435681942,True,1.572556432213885,0.0018693470321216044,-0.09155926700596617,-0.3392496000265326,True,1.68706094168631
84,0.15,daily,1,aggressive,matrix,0.033057014561088935,-0.08858430898143954,-0.19778210435681942,True,1.3840232415699503,-0.00665230073588452,-0.12282477662105196,-0.3392496000265326,True,1.3638148901417932
84,0.35,daily,1,aggressive,matrix,0.03153438667487142,-0.08858430898143954,-0.19778210435681942,True,1.3646998357653752,-0.009359371388066445,-0.12399376612844804,-0.3392496000265326,True,1.3665104326164683
84,0.5,daily,1,aggressive,matrix,0.03034748682787003,-0.08858430898143954,-0.19778210435681942,True,1.3529614179528118,-0.008885654606408666,-0.11578925211935731,-0.3392496000265326,True,1.3836158117553452
84,0.25,daily,1,aggressive,matrix,0.029140073465883473,-0.08858430898143954,-0.19778210435681942,True,1.340585618999878,-0.010637425958279684,-0.12282477662105173,-0.3392496000265326,True,1.3351473564878376
42,0.5,daily,1,default,matrix,0.029027613505299907,-0.07298831578817433,-0.19778210435681942,True,1.531240993587805,-0.006013983405818296,-0.09102872359512726,-0.3392496000265326,True,1.6212915048925272
42,0.25,daily,1,default,matrix,0.029007163563545324,-0.07298831578817433,-0.19778210435681942,True,1.4925237854316502,-9.114867382836733e-06,-0.08334619990515935,-0.3392496000265326,True,1.6502378229344192
42,0.15,daily,1,default,matrix,0.025338186330932183,-0.07298831578817433,-0.19778210435681942,True,1.4348649390066042,0.0035833213555937493,-0.08022350523558741,-0.3392496000265326,True,1.684178413388266
84,0.15,daily,1,default,matrix,0.024208088564633093,-0.07298831578817433,-0.19778210435681942,True,1.4918189802516109,-0.02103583758310923,-0.10663432142589291,-0.3392496000265326,True,1.43487347741588
126,0.15,daily,1,aggressive,matrix,0.024092969508943046,-0.08858430898143954,-0.19778210435681942,True,1.3041777316150203,-0.011905955795615597,-0.1227488010088984,-0.3392496000265326,True,1.2908585422266372
84,0.35,daily,1,default,matrix,0.022685460678415606,-0.07298831578817433,-0.19778210435681942,True,1.4736711100565032,-0.023742908235291113,-0.10761086661096031,-0.3392496000265326,True,1.4450975884435506
126,0.35,daily,1,aggressive,matrix,0.022607124376676863,-0.08858430898143954,-0.19778210435681942,True,1.2899191293334777,-0.011184087803835646,-0.12274880100889829,-0.3392496000265326,True,1.32395742545749
126,0.25,daily,1,aggressive,matrix,0.02229362416108477,-0.08858430898143954,-0.19778210435681942,True,1.284879465208356,-0.012826062111073483,-0.12274880100889829,-0.3392496000265326,True,1.2970289124006038
84,0.5,daily,1,default,matrix,0.021498560831414257,-0.07298831578817433,-0.19778210435681942,True,1.4622424007054962,-0.023269191453633348,-0.10100330594834317,-0.3392496000265326,True,1.4681255026709836
252,0.5,daily,1,aggressive,matrix,0.021092163039754905,-0.08858430898143954,-0.19778210435681942,True,1.307308415656227,0.004250774690369191,-0.09383167468867049,-0.3392496000265326,True,1.5153708305668878
126,0.5,daily,1,aggressive,matrix,0.020767492744000096,-0.08858430898143954,-0.19778210435681942,True,1.2679931550448444,-0.008927715128505265,-0.11461927296673391,-0.3392496000265326,True,1.3611409650128636
63,0.5,daily,1,aggressive,matrix,0.020520370013836622,-0.08858430898143954,-0.19778210435681942,True,1.2255885509159439,-0.009957251480649243,-0.12280339940332186,-0.3392496000265326,True,1.3601724748122368
84,0.25,daily,1,default,matrix,0.020291147469427673,-0.07298831578817433,-0.19778210435681942,True,1.4438758666129552,-0.025020962805504393,-0.10663432142589302,-0.3392496000265326,True,1.4035162334149887
252,0.35,daily,1,aggressive,matrix,0.01858833516868713,-0.08858430898143954,-0.19778210435681942,True,1.2773693637537518,0.002178890558937885,-0.10551853973960612,-0.3392496000265326,True,1.495237171402388
