exposure_map,annual_return,annual_vol,sharpe,max_drawdown
"{'low': 1.0, 'mid': 1.0, 'high': 0.5}",0.10821685491349545,0.12082440578552223,0.895653938539481,-0.12040937903808402
"{'low': 1.0, 'mid': 0.75, 'high': 0.25}",0.07798857690983536,0.08778570440294942,0.8883972332426271,-0.07809106240417119
"{'low': 1.25, 'mid': 1.0, 'high': 0.5}",0.10942958320206563,0.12908400690267127,0.8477392810139137,-0.12513652519464147
"{'low': 1.0, 'mid': 0.5, 'high': 0.0}",0.047760298906175266,0.068665176655733,0.6955534265298895,-0.035393125843461104
