regime,avg_log_return,avg_strategy_log_return,avg_exposure,obs
high,0.00040772254466135243,0.00010193063616533811,0.25,83
low,5.847082819891883e-05,5.847082819891883e-05,1.0,80
mid,0.0010344226922331732,0.0007758170191748798,0.75,80
