date,spx_adj_close,vix_close,log_return,sq_return,cond_vol,realized_vol,regime,realized_window
2025-02-03,5994.56982421875,18.6200008392334,-0.0076376907294952,5.8334319679416965e-05,0.008062811844064035,12.78145466795566,mid,10
2025-02-04,6037.8798828125,17.209999084472656,0.0071989074030291,5.182426779738738e-05,0.008081155971040446,12.50764515459303,mid,10
2025-02-05,6061.47998046875,15.770000457763672,0.0039010539156136,1.5218221652524308e-05,0.008006402838365284,12.241184929616743,mid,10
2025-02-06,6083.56982421875,15.5,0.0036376743552662,1.3232674714961844e-05,0.007798176891384206,12.051125363549696,mid,10
2025-02-07,6025.990234375,16.540000915527344,-0.0095098456936602,9.043716511722744e-05,0.007567437175865864,12.84053920140669,mid,10
2025-02-10,6066.43994140625,15.8100004196167,0.0066901122954551,4.475760252580047e-05,0.007874279898728666,10.911698776927317,mid,10
2025-02-11,6068.5,16.020000457763672,0.0003395251436738,1.1527732318675205e-07,0.0078041212985737775,9.888121102409485,mid,10
2025-02-12,6051.97021484375,15.890000343322754,-0.0027275831896475,7.439710056448042e-06,0.007623099261542033,9.673529595815356,mid,10
2025-02-13,6115.06982421875,15.100000381469728,0.0103723132142357,0.0001075848814142,0.007507436632602611,10.706015051220827,low,10
2025-02-14,6114.6298828125,14.770000457763672,-7.19463955744955e-05,5.176283836161786e-09,0.007626907739528629,10.234421898175361,mid,10
2025-02-18,6129.580078125,15.350000381469728,0.0024420036555518,5.963381853728398e-06,0.007399336399670667,8.963955438760662,low,10
2025-02-19,6144.14990234375,15.270000457763672,0.0023741488668242,5.63658284184284e-06,0.007218751464522252,8.531459682325728,low,10
2025-02-20,6117.52001953125,15.65999984741211,-0.0043436048842902,1.8866903390830196e-05,0.007253478588591763,8.942016446146994,low,10
2025-02-21,6013.1298828125,18.209999084472656,-0.0172113966725391,0.0002962321754194,0.007237544727643824,12.560775470443097,low,10
2025-02-24,5983.25,18.979999542236328,-0.0049814935662523,2.4815278150613564e-05,0.008224022114661226,11.907062475622222,mid,10
2025-02-25,5955.25,19.43000030517578,-0.0046907151383955,2.200280850957325e-05,0.008079622621376579,11.28023515247908,mid,10
2025-02-26,5956.06005859375,19.100000381469727,0.0001360150295834,1.8500088272591053e-08,0.00795087935786958,11.269632895106895,mid,10
