regime,hedge_signal,share
high,neutral,0.5299270072992701
high,cheap,0.45255474452554745
high,expensive,0.017518248175182483
low,neutral,0.5139202407825433
low,expensive,0.47930775018811134
low,cheap,0.006772009029345372
mid,neutral,0.7577125658389767
mid,cheap,0.13318284424379231
mid,expensive,0.109104589917231
