date,forecast_vol,forecast_vol_rolling,realized_vol
2025-01-21,13.9528324407211,13.9528324407211,17.812787828663094
2025-01-22,13.849749177766826,13.570806226290118,14.191222263546965
2025-01-23,13.756089078433126,13.262868343991169,14.211133801507083
2025-01-24,13.671042384304096,12.809549214579013,13.929415867002248
2025-01-27,13.593860363774086,12.627671745054927,14.803337985650877
2025-01-28,13.523852098432835,13.574937600629458,14.651583809158767
2025-01-29,13.460381213000247,13.682022397609678,14.749382891004803
2025-01-30,13.402862592960519,13.26258468726034,14.27564254372588
2025-01-31,13.350759128496684,12.972058615217433,13.823807988069833
2025-02-03,13.303578517545128,12.79931700437972,14.034058220355272
2025-02-04,13.260870155060545,12.828437403178622,14.148351613775004
2025-02-05,13.22222213011651,12.709770483909727,13.595838422674131
2025-02-06,13.187258347412206,12.379222040576014,13.531380347762687
2025-02-07,13.155635785202637,12.01293409766762,13.357042111010484
2025-02-10,13.127041897663833,12.500031819450552,13.50477543816886
2025-02-11,13.101192166257436,12.388658494445199,12.073805383874165
2025-02-12,13.077827801755273,12.101294919360207,12.181414291672393
2025-02-13,13.056713596192349,11.917686188065616,12.539824028662672
2025-02-14,13.037635922091722,12.107340690735926,11.122754742577706
2025-02-18,13.020400874797703,11.746082388261968,11.058281325401166
2025-02-19,13.004832552612205,11.45941269090551,10.634512284546647
2025-02-20,12.990771468602158,11.514540291327355,10.423705056133151
2025-02-21,12.978073087384235,11.489246071231358,11.880125125339491
2025-02-24,12.966606479852496,13.055230375253474,11.772755128061513
2025-02-25,12.956253088653854,12.826003286048524,11.82488462946874
2025-02-26,12.946905597200193,12.621629691119901,10.753457817261776
2025-02-27,12.938466895103357,12.299211570409144,11.428631758911784
2025-02-28,12.930849133103534,13.692935296865702,12.844654172555003
2025-03-03,12.923972860810473,14.484129401096679,13.932912870773892
2025-03-04,12.917766240872156,16.09300654470783,14.368246718855705
2025-03-05,12.91216433351113,15.359361728011425,14.916154847177635
2025-03-06,12.907108445713227,15.959838913157245,15.656723701520914
2025-03-07,12.902545539706182,16.01806850317925,15.747955985055912
2025-03-10,12.898427695719533,15.407970340572815,17.789582669348842
2025-03-11,12.894711624366106,20.52215483264313,17.7247133012581
2025-03-12,12.891358224324605,19.245016418067827,17.60098926557593
2025-03-13,12.88833218132958,17.721776034025456,17.87250261534239
2025-03-14,12.885601604786649,18.249447694179075,19.9458228907517
2025-03-17,12.883137698626127,19.501806978380856,19.64601648459112
2025-03-18,12.880914463286155,18.19832329093506,19.753701487518757
2025-03-19,12.878908425976721,17.67381119923382,20.299614458074835
2025-03-20,12.877098396618791,17.39541730317815,20.18977697133237
2025-03-21,12.875465247078251,15.869113037919384,20.254223111554833
2025-03-24,12.873991711523097,15.370013440633985,20.881820473977662
2025-03-25,12.872662205925087,16.537336448079685,20.88677137270971
2025-03-26,12.871462664904506,15.731376474520816,21.126687123310877
2025-03-27,12.87038039427974,15.443443007710522,21.116851496516247
2025-03-28,12.869403937832914,15.087686439207006,21.483520572794575
2025-03-31,12.868522956939577,17.107309506030028,20.677908388352257
2025-04-01,12.86772812183573,16.40777681193762,20.054608403526743
2025-04-02,12.867011013409375,15.362464215226145,19.87965590233449
2025-04-03,12.866364034508033,14.81504929442271,25.573211516088364
2025-04-04,12.865780329848441,23.9000799174124,32.2258796175586
2025-04-07,12.865253713700763,40.211938302126946,31.991084029918216
2025-04-08,12.864778604598095,39.1151808507063,31.27417903039491
2025-04-09,12.864349966393233,36.50280752226256,45.76776179374726
2025-04-10,12.863963255049251,67.80979903072279,47.20487724242346
2025-04-11,12.863614370609097,57.45443010981659,47.554167083628315
2025-04-14,12.863299613842475,54.10438126259677,46.98810960965224
2025-04-15,12.863015647116537,50.56429560393864,46.88918358167391
2025-04-16,12.8627594590804,49.676299211241734,47.33691279291544
2025-04-17,12.862528332793122,46.110293370881564,47.10522922952443
2025-04-21,12.862319816960365,42.060444425255056,47.628978210300424
2025-04-22,12.86213169997748,42.484419689768984,48.6763375186652
2025-04-23,12.861961986505793,41.76105662697981,48.62534649365538
2025-04-24,12.861808876335513,37.30371598913759,49.278274627850514
2025-04-25,12.861670745312498,39.34631811842164,49.282554849999435
2025-04-28,12.861546128127681,32.834713970139425,49.28411938964751
2025-04-29,12.861433702787622,22.57025250534699,48.868747736741526
2025-04-30,12.86133227660222,19.75287552576882,48.829427326419086
2025-05-01,12.861240773541486,17.73999044100925,48.863881322289004
2025-05-02,12.861158222827912,16.413679578348166,49.08212729033934
2025-05-05,12.861083748643711,18.01958802156772,45.73327758498845
2025-05-06,12.861016560844114,16.69931171063312,39.66920294046066
2025-05-07,12.8609559465785,16.23055760010259,39.58621418999654
2025-05-08,12.860901262730664,14.618381007633829,38.849766344189995
2025-05-09,12.860851929098182,13.939003510963822,23.640549786281053
2025-05-12,12.860807422238715,13.169784191339748,21.801245297503097
2025-05-13,12.860767269918014,25.88340643602362,21.30741906186223
2025-05-14,12.860731046100875,25.088272002606303,21.29925784453274
2025-05-15,12.860698366431969,23.309205587823186,21.193514232583066
2025-05-16,12.86066888415857,22.360630311562897,18.77694710824624
2025-05-19,12.86064228645217,21.347373219944853,18.791090244680962
2025-05-20,12.86061829108975,20.420369330410907,15.8716022179902
2025-05-21,12.86059664345976,14.092217742142497,16.345703393321955
2025-05-22,12.860577113860892,19.377647304635097,15.857635680055242
2025-05-23,12.860559495065093,19.04389801908086,15.12985241703312
2025-05-27,12.860543600118984,17.29750416184979,16.250050542232653
2025-05-28,12.860529260360334,20.303779599274964,16.5193618183334
2025-05-29,12.860516323628545,19.0154032938076,16.493039263240533
2025-05-30,12.860504652650246,18.343582814642026,16.51901770673797
2025-06-02,12.860494123582791,17.369811481446234,16.479033935678807
2025-06-03,12.860484624700238,16.5636610965737,15.952261186690608
2025-06-04,12.860476055207904,15.26959944696486,15.66129837316819
2025-06-05,12.860468324172864,12.446311833869405,15.480434492518022
2025-06-06,12.86046134955911,12.542762947257632,15.689992183273318
2025-06-09,12.860455057357099,13.725223694006605,15.672638083261678
2025-06-10,12.860449380798421,12.959153721499764,15.644772065729368
2025-06-11,12.860444259647377,12.61436207103596,11.6684587586201
2025-06-12,12.860439639561786,12.049489002323542,11.51400357980184
2025-06-13,12.860435471516377,11.984697117806437,12.318112321010245
2025-06-16,12.86043171128259,14.057923548061884,12.631319197340233
2025-06-17,12.860428318959254,14.243258713615589,12.823512219381078
2025-06-18,12.8604252585492,14.379468736356335,12.822146289466868
2025-06-20,12.860422497577273,13.271400715312707,12.768149346732589
2025-06-23,12.860420006745766,12.639151203203044,11.652249567553973
2025-06-24,12.860417759623502,13.484442048954703,12.090026068877119
2025-06-25,12.860415732365393,14.747020181298515,11.696306178435051
2025-06-26,12.8604139034594,13.521014187329186,9.971027799625114
2025-06-27,12.860412253498268,13.619610136635574,9.669055351628266
2025-06-30,12.86041076497359,13.123571768033349,9.70344351278789
2025-07-01,12.860409422090028,12.726242373741945,9.742144205787147
2025-07-02,12.860408210597688,12.04083880184141,9.759900120286268
2025-07-03,12.860407117640918,11.816398491793228,9.911716459455231
2025-07-07,12.860406131621904,12.60859508176629,10.513564351024693
2025-07-08,12.86040524207758,13.137250081152452,10.228069932968069
2025-07-09,12.860404439568612,12.427302987152364,9.914258104199195
2025-07-10,12.860403715579238,12.333330319021215,9.908362849241115
2025-07-11,12.8604030624269,11.87290244363448,10.00132965230163
2025-07-14,12.860402473180713,11.613174270498805,9.870653259838422
2025-07-15,12.86040194158794,11.15026057369318,10.047634571436165
2025-07-16,12.860401462007614,11.293181646733855,8.891741083395308
2025-07-17,12.860401029350701,10.605265506318329,8.59170591601095
2025-07-18,12.860400639026093,10.466359758755422,7.763622512268957
2025-07-21,12.860400286891888,10.141989567664925,7.709881310931599
2025-07-22,12.86039996921143,9.828004052854448,7.553692218258668
2025-07-23,12.860399682613677,9.543106609592563,7.371610881036878
2025-07-24,12.860399424057414,10.10616379726183,6.711769288250535
2025-07-25,12.860399190798988,8.694204119110118,6.697841553012621
2025-07-28,12.860398980363192,9.506947846084834,6.396328862165084
2025-07-29,12.860398790516998,9.303113281452102,6.488285993612869
2025-07-30,12.86039861924586,8.257307263915086,6.413132381585244
2025-07-31,12.86039846473235,9.282943071016286,6.590593037640587
2025-08-01,12.860398325336858,9.351174893662622,8.740392913718106
2025-08-04,12.860398199580194,14.788665928924877,9.710983512448076
2025-08-05,12.8603980861279,17.197714369531187,9.438998705847482
2025-08-06,12.860397983776082,14.920472190149193,9.706951887741566
2025-08-07,12.860397891438641,14.91668114393476,9.538516052251856
2025-08-08,12.860397808135746,13.753451561763615,9.83642772098062
2025-08-11,12.860397732983428,13.537260219537705,9.79819900803951
2025-08-12,12.860397665184212,13.036220258691571,10.44383646011248
