date,forecast_vol,forecast_vol_rolling,realized_vol
2025-01-21,17.04577828025357,17.04577828025357,17.812787828663144
2025-01-22,17.124460308838145,16.22549565903574,14.19122226354703
2025-01-23,17.201219517365434,16.422076459825437,14.211133801507145
2025-01-24,17.27611266054669,15.158142993679638,13.929415867002312
2025-01-27,17.349194278689247,15.005285901641283,14.803337985650932
2025-01-28,17.420516815247176,16.686888673318627,14.651583809158828
2025-01-29,17.49013072624397,16.650280442494967,14.749382891004862
2025-01-30,17.558084582256722,16.086043515201684,14.275642543725942
2025-01-31,17.624425163582718,15.63763793850261,13.823807988069897
2025-02-03,17.68919754914827,15.770260781530043,14.034058220355334
2025-02-04,17.752445199665797,15.009637225475842,14.148351613775064
2025-02-05,17.81421003549679,13.874839205062425,13.595838422674195
2025-02-06,17.874532509635564,14.83553193143645,13.53138034776275
2025-02-07,17.933451676190455,13.289706822856568,13.357042111010545
2025-02-10,17.991005254704724,13.776599316584884,13.504775438168922
2025-02-11,18.04722969062889,13.570422040444935,12.073805383874237
2025-02-12,18.102160212228554,11.994299776983487,12.181414291672466
2025-02-13,18.155830884187225,11.842703412285962,12.539824028662736
2025-02-14,18.20827465814108,12.909074915141778,11.122754742577783
2025-02-18,18.259523420362772,12.393710734502003,11.058281325401243
2025-02-19,18.30960803679317,11.113870291173104,10.634512284546728
2025-02-20,18.358558395603424,12.060069097161593,10.423705056133235
2025-02-21,18.406403447455055,11.715922591915131,11.880125125339564
2025-02-24,18.453171243612182,14.809990422102917,11.772755128061586
2025-02-25,18.498888972047865,14.779404742158809,11.824884629468812
2025-02-26,18.543582991675343,14.062637047013407,10.753457817261856
2025-02-27,18.587278864824945,13.789793722228207,11.42863175891186
2025-02-28,18.63000138807812,15.836924885906162,12.844654172555071
2025-03-03,18.67177462156173,16.65214774935427,13.932912870773956
2025-03-04,18.712621916798,17.80336090833646,14.368246718855765
2025-03-05,18.752565943198498,18.55236544099743,14.916154847177692
2025-03-06,18.791628713284222,17.982669208123262,15.656723701520969
2025-03-07,18.829831606707735,18.527610118423357,15.747955985055961
2025-03-10,18.867195393148133,17.179787607367107,17.789582669348892
2025-03-11,18.903740254144562,20.27737651533748,17.724713301258145
2025-03-12,18.939485803929372,19.47021591576861,17.60098926557598
2025-03-13,18.974451109317958,19.471491481698518,17.87250261534244
2025-03-14,19.008654708708335,20.23258499467437,19.945822890751742
2025-03-17,19.042114630240032,20.75180034235298,19.646016484591165
2025-03-18,19.074848409158527,20.02606296508629,19.7537014875188
2025-03-19,19.106873104428416,20.022013969018854,20.299614458074878
2025-03-20,19.138205314635837,19.334759651707905,20.189776971332414
2025-03-21,19.168861193217822,18.62851384052836,20.254223111554875
2025-03-24,19.198856463054128,17.494353420605833,20.881820473977704
2025-03-25,19.228206430454613,18.87031905260268,20.886771372709752
2025-03-26,19.25692599857341,17.98527577689679,21.126687123310912
2025-03-27,19.285029680279,18.331783712605645,21.116851496516286
2025-03-28,19.312531610507648,17.664856323809246,21.48352057279461
2025-03-31,19.339445558126013,19.608250358709984,20.677908388352296
2025-04-01,19.365784937327106,18.392984006258263,20.054608403526785
2025-04-02,19.39156281858245,17.29657954148792,19.879655902334534
2025-04-03,19.416791939171844,17.433799264620255,25.573211516088396
2025-04-04,19.441484713311045,30.606452214415658,32.225879617558626
2025-04-07,19.465653241896323,43.57054304670746,31.991084029918245
2025-04-08,19.489309321883983,41.349266964615225,31.27417903039494
2025-04-09,19.51246445532169,38.965505985199925,45.76776179374728
2025-04-10,19.535129858047746,56.078873813693605,47.20487724242348
2025-04-11,19.557316468073342,55.76452242867085,47.55416708362834
2025-04-14,19.579034953662177,52.11671556239214,46.988109609652255
2025-04-15,19.600295721120915,49.91042928129282,46.889183581673926
2025-04-16,19.62110892231331,46.108445219048974,47.336912792915456
2025-04-17,19.64148446191014,47.34657924960232,47.10522922952445
2025-04-21,19.661432004386356,44.97162380133691,47.62897821030044
2025-04-22,19.680960980776472,44.004437039537784,48.676337518665214
2025-04-23,19.700080595198312,44.60563588761415,48.6253464936554
2025-04-24,19.718799831155113,39.97599070968217,49.278274627850536
2025-04-25,19.737127457625125,38.485474032254544,49.28255484999946
2025-04-28,19.755072034947602,38.11288884696605,49.28411938964752
2025-04-29,19.77264192051354,34.87867284329138,48.86874773674154
2025-04-30,19.789845274269137,34.2931257051916,48.829427326419115
2025-05-01,19.80669006403953,31.68181811406291,48.86388132228902
2025-05-02,19.82318407068006,29.41894904906229,49.08212729033936
2025-05-05,19.839334893061878,26.738098624944744,45.73327758498847
2025-05-06,19.855149952898397,27.94445629107659,39.66920294046068
2025-05-07,19.870636499418925,27.442596548235876,39.58621418999656
2025-05-08,19.88580161389525,25.91358729012291,38.849766344190016
2025-05-09,19.90065221402693,23.89943943316556,23.640549786281092
2025-05-12,19.915195058190665,17.58533504644935,21.801245297503137
2025-05-13,19.92943674955884,25.22639202496472,21.307419061862273
2025-05-14,19.943383740092173,26.021910485166146,21.299257844532782
2025-05-15,19.957042334411216,24.199675117738302,21.193514232583105
2025-05-16,19.970418693551018,22.92136947939896,18.776947108246286
2025-05-19,19.983518838603405,22.244069978044916,18.791090244681012
2025-05-20,19.996348654250877,19.17211685661413,15.871602217990255
2025-05-21,20.00891389219599,16.914412669429296,16.345703393322005
2025-05-22,20.021220174490047,20.949153688185675,15.8576356800553
2025-05-23,20.03327299676464,17.775290525260086,15.12985241703318
2025-05-27,20.045077731369396,17.35314267308966,16.250050542232703
2025-05-28,20.056639630419358,20.593379199302824,16.519361818333454
