date,regime,trend_score,trend_state,exposure,turnover,cost_rate,strategy_equity,strategy_equity_net,benchmark_equity,regime_equity,drawdown,drawdown_net,regime_drawdown,strategy_return,strategy_return_net,benchmark_return,regime_return,trend_only_exposure,trend_only_equity,trend_only_drawdown,trend_only_return
2010-01-19,mid,0.0,neutral,0.6,0.0,0.0,1.0074811356316955,1.0074811356316955,1.0124996265993635,1.0093601481422176,0.0,0.0,0.0,0.007481135631695501,0.007481135631695501,0.012499626599363545,0.00936014814221764,0.6,1.0074811356316955,0.0,0.007481135631695501
2010-01-20,mid,0.0,neutral,0.6,0.0,0.0,1.0010612214609576,1.0010612214609576,1.001769328022842,1.0013267027468755,-0.0063722425598694565,-0.0063722425598694565,-0.007958948458712256,-0.006372242559869679,-0.006372242559869679,-0.010597829662970737,-0.007958948458712256,0.6,1.0010612214609576,-0.0063722425598694565,-0.006372242559869679
2010-01-21,mid,0.0,neutral,0.6,0.0,0.0,0.9896387161889626,0.9896387161889626,0.982790904884596,0.9870652132919921,-0.0177099290613969,-0.0177099290613969,-0.02208818615561603,-0.011410396314547877,-0.011410396314547877,-0.01894490338978838,-0.014242593766610523,0.6,0.9896387161889626,-0.0177099290613969,-0.011410396314547877
2010-01-22,high,0.0,neutral,0.4,0.19999999999999996,9.999999999999998e-05,0.9808151695113082,0.9807170928982694,0.9610309425018895,0.9815556043918948,-0.026467955753501582,-0.026565304090428454,-0.027546702533777112,-0.008915927129077295,-0.009015030581109196,-0.022140988764300373,-0.0055818084012120295,0.6,0.9764329414454646,-0.030817643217471824,-0.0133440360885968
2010-01-25,high,0.0,neutral,0.4,0.0,0.0,0.9826166408814543,0.9825183841302856,0.9654498569687517,0.9826819862612797,-0.024679861360035305,-0.02477738849746125,-0.02643076599570582,0.00183670830768623,0.00183670830768623,0.004598098012701168,0.0011475476930138395,0.6,0.9791243100585189,-0.02814625958767636,0.0027563271360655506
2010-01-26,high,0.0,neutral,0.4,0.0,0.0,0.9809624994871579,0.9808644081418582,0.9613918785415304,0.9816477525453489,-0.02632171978873865,-0.026419082748530553,-0.02745540890223863,-0.0016834046213715093,-0.0016834046213715093,-0.004203199573680871,-0.001052460236770636,0.6,0.9766529572776577,-0.03059926113128497,-0.0025240439395417535
2010-01-27,high,0.0,neutral,0.4,0.0,0.0,0.9828746017863038,0.9827763192403344,0.9660836172431794,0.9828432146129028,-0.02442381596551013,-0.024521368706195257,-0.026271032770731728,0.001949210393002332,0.001949210393002332,0.004880152210944955,0.001217811648276168,0.6,0.979509901486416,-0.027763531401251873,0.0029252399099082282
2010-01-28,high,0.0,neutral,0.4,0.0,0.0,0.9782118821117441,0.9781140658144294,0.9546666913093178,0.9799265101494756,-0.02905191222424164,-0.02914900217844063,-0.029160689617988456,-0.004743961911403027,-0.004743961911403027,-0.011817740959567113,-0.0029676192703593784,0.6,0.972548038052851,-0.03467369893426475,-0.007107496741993624
2010-01-29,high,0.0,neutral,0.4,0.0,0.0,0.9743544755075547,0.974257044931614,0.9452831064525995,0.9775096162889303,-0.03288067533231798,-0.03297738242934922,-0.03155517078013237,-0.003943324217103306,-0.003943324217103306,-0.009829173828039162,-0.002466403179741228,0.6,0.9668011045393632,-0.04037795811117173,-0.0059091513104007065
2010-02-01,high,0.0,neutral,0.4,0.0,0.0,0.9798909574292233,0.9797929732327718,0.9587686181855459,0.9809774335985582,-0.02738530502129255,-0.0274825616278791,-0.028119511748011305,0.005682205050461242,0.005682205050461242,0.014266108894671836,0.0035476042913964445,0.6,0.9750531424855114,-0.032187196364576676,0.008535403928898067
2010-02-02,high,0.0,neutral,0.4,0.0,0.0,0.984956133559066,0.9848576428703266,0.971206673974932,0.9841436143494301,-0.022357740781425384,-0.022455500119298866,-0.02498269209379822,0.0051691222287950644,0.0051691222287950644,0.01297294837718499,0.003227577559309802,0.6,0.9826231573627355,-0.02467339326743212,0.00776369466173632
2010-02-03,high,0.0,neutral,0.4,0.0,0.0,0.9827957984628729,0.9826975237968418,0.9658899861793411,0.9827939633681636,-0.02450203412825669,-0.02459957904751653,-0.02631982729152771,-0.0021933312790153314,-0.0021933312790153314,-0.00547431142933863,-0.0013713963710050292,0.6,0.9793921035167157,-0.027880454652252973,-0.0032881922452261403
2010-02-04,high,0.0,neutral,0.4,0.0,0.0,0.9704375217458284,0.9703404828456798,0.9358115172444474,0.9750517381280416,-0.03676854342552083,-0.036864861755181555,-0.033990256180930656,-0.012574612891480874,-0.012574612891480874,-0.031140677888039425,-0.007877770447010435,0.6,0.9609770843280211,-0.046158731572195744,-0.01880249914469545
2010-02-05,high,0.0,neutral,0.4,0.0,0.0,0.9715611349954018,0.9714639837395459,0.9385226744984452,0.9757571823915849,-0.03565327366032689,-0.035749703511387954,-0.033291353747699315,0.0011578419263424955,0.0011578419263424955,0.002897118921960873,0.0007234941859575184,0.6,0.9626465566790263,-0.04450165602808798,0.0017372655167657847
2010-02-08,high,0.0,neutral,0.4,0.0,0.0,0.9681074411625566,0.9680106352588163,0.9302042753996786,0.9735878539080014,-0.0390813218000865,-0.039177408863473207,-0.03544056529283135,-0.0035547879679865835,-0.0035547879679865835,-0.008863290493447029,-0.0022232257396933575,0.6,0.9575181144771361,-0.04959201655248102,-0.0053274404466604475
2010-02-09,high,0.0,neutral,0.4,0.0,0.0,0.9731375224233807,0.9730402135366638,0.9423342622323364,0.9767463788623697,-0.03408859182934598,-0.034185178140766936,-0.032311330440255026,0.005195788243073096,0.005195788243073096,0.013040132316577413,0.0032442115436115415,0.6,0.9649903916538042,-0.042175225396403504,0.007803797195782947
