regime,trend_state,avg_log_return,avg_strategy_log_return,avg_exposure,obs
high,neutral,0.0014782940287670794,0.0005913176115068319,0.4,358
high,strong_down,-0.0012346406694828318,-0.0001234640669482832,0.1,636
high,strong_up,0.0027929366270233566,0.0019550556389163493,0.7,376
low,neutral,-0.0004292177954878438,-0.00034337423639027505,0.8,486
low,strong_down,-0.0032848958055281966,-0.0016424479027640983,0.5,227
low,strong_up,0.0017056875751346211,0.0018762563326480833,1.1,616
mid,neutral,0.0014496906572195026,0.0008698143943317015,0.6,373
mid,strong_down,-0.0018089336861408963,-0.0005426801058422688,0.3,461
mid,strong_up,0.0024432707898301128,0.0021989437108471017,0.9,495
