regime,avg_log_return,avg_cond_vol,avg_realized_vol,avg_vix,min_drawdown,obs
high,0.0006144149352453062,0.014858865858147203,23.15372095519625,24.345809541779122,-0.3392496000265327,1365
low,-4.497735208486099e-05,0.005517812499445173,7.663425478982153,14.16752453570096,-0.15113543183566103,1325
mid,0.0007681044960758741,0.008186209578385626,12.134356368674608,16.544169174580414,-0.1825287287286268,1324
